Timestamp,"How did your conversation go?  Was it serious? Lighthearted? Humorous, or fun? Were you talking with friends, or family members, or acquaintances? ",How would you change this app to create the kind of conversation you want to have? ,Did something break? ,Did you experience any glitches with the app?,,"If you are a UW student using this app for a class, please enter your student ID",What events or questions did you find sparked the most conversation? Why? Where did those questions take your conversation? 
4/4/2017 19:20:06,test --katie,,,,,,
4/10/2017 8:14:46,"Woohoo, first game played with new graphics!",,,,,,
4/10/2017 17:19:34,awww its over :'(,,,,,,
4/10/2017 17:20:08,"Does a good job of facilitating conversations about the topics presented.

At the very end, ""thank you for playing"" message only had name of last player entered.

There was a reference to ""this comic"" but comic was not included.

Does the program use the age of the viewer to decide the level of complexity of the questions, or just when the event in question happened on the calendar?",,,,,,
5/23/2017 23:12:24,piece of shit app. tell rachel white to suck english dick shes a shitt prof,,,,,,
5/27/2017 15:37:44,Interesting ,,,,,,
5/28/2017 17:03:36,"Some of the question were worded strangely, but overall it was good! ",,,,,,
5/29/2017 22:08:46,awesome,,,,,,
11/21/2017 22:54:44,"Lighthearted in some parts, other times fairly serious ",Fill in a space for answers,,Nope!,,1628984,"Coal, we talked about how good solar and wind energy are compared to fossil fuels, and whether or not that’s because they’re just not as efficient or because they’re not as well funded and researched. 
Also, talking about what bodies of water we depend on. Another was the topic on how where you would go if this area wasn’t safe anymore due to climate change, and decided it depends on which area climate change isn’t as severe. Colorado was our best bet. "
11/21/2017 22:56:46,fun,nothing,,,,1560984,what do we eat today
11/21/2017 23:09:14,"I felt that the conversation went well. I talked with my sister and two friends, one of which has different opinions about climate change. 

I felt that the conversation was lighthearted initially, and then other subjects earned more in depth and serious. ","I would like a spot to fill in any answers and make notes about our answers, that way we can reflect back on them. ",,"No, but I did have a personal glitch and am submitting two forms, I didn’t put enough info on the first one, sorry!",,1628984,"One of the biggest conversation starters was was coal, and how efficient solar and wind are compared to coal. We also ended up talking about safety concerns, and whether or not coal is really efficient or if we just haven’t really worked on developing solar/wind energy. 
We also had a good discussion about the land where we live and what we depend on here. In relation to that, where we would go if it wasn’t safe to live here anymore due to flooding and land subsidation due to climate change. We decided on Colorado since it’s higher elevation. "
11/22/2017 21:24:08,Serious until we started talking about pikas. Friend.,"More open ended questions, like ""what have you heard about global warming?""",,No,,7833771,Talking about the pika being endangered. Definitely was an ice breaker.
